metric,success_rate_Q1,success_rate_Q2,success_rate_Q3,success_rate_Q4,withdraw_rate_Q1,withdraw_rate_Q2,withdraw_rate_Q3,withdraw_rate_Q4,success_lift_last_vs_first,withdraw_reduction_first_vs_last,combined_signal_strength
assessment_density,0.000602627455706882,0.2901818181818182,0.74024209486166,0.8796226415094339,0.7758225864770399,0.3747878787878788,0.06855237154150198,0.009056603773584906,0.879,0.767,1.646
num_assess_attempted,0.000753336203185536,0.4072695423691701,0.7579672695951766,0.8857103180113873,0.751721911321567,0.30140135756514125,0.05182314097042779,0.0079155672823219,0.885,0.744,1.629
active_days,0.01959174096668231,0.3146870688573937,0.6783155248271527,0.8982925930475372,0.7067104645706241,0.3574564154019817,0.13488372093023257,0.025672521803218277,0.879,0.681,1.56
total_clicks,0.021595092024539877,0.3454746136865342,0.6601178781925344,0.8613873542050338,0.7084662576687116,0.3382389011528084,0.1529960707269155,0.04640883977900553,0.84,0.662,1.502
log_total_clicks,0.021595092024539877,0.3454746136865342,0.6601178781925344,0.8613873542050338,0.7084662576687116,0.3382389011528084,0.1529960707269155,0.04640883977900553,0.84,0.662,1.502
engagement_intensity,0.021226993865030675,0.3449926362297496,0.663966617574865,0.8581072787529151,0.7092024539877301,0.33750613647520866,0.15206185567010308,0.047502148029949676,0.837,0.662,1.499
avg_score,0.006113216774666829,0.4051458820632771,0.6805248957566838,0.7982057269263857,0.7625626604719403,0.2286101194140096,0.14324258032867304,0.10986850190487894,0.792,0.653,1.445
unique_resources,0.030146528945472015,0.4063375990249848,0.6468824190928402,0.8218141208586673,0.6996156617823684,0.30591102985984153,0.16418842933899788,0.06291103114530339,0.792,0.637,1.429
clicks_per_day,0.37074038593129877,0.5293554126180375,0.5696496989600438,0.6353681905283329,0.33159983577391544,0.24018064869303407,0.22167487684729065,0.18751710922529427,0.265,0.144,0.409
resources_per_day,0.7441160372194855,0.6138790035587188,0.5218818380743983,0.2250068474390578,0.11302681992337164,0.18354776895702163,0.23317833698030635,0.4513831826896741,-0.519,-0.338,-0.857
engagement_breadth,0.8042972492130833,0.6497878746407555,0.4782430213464696,0.1727347385710375,0.07978650609005064,0.16559463528123716,0.25738916256157635,0.4782370654256775,-0.632,-0.398,-1.03
num_quiz,0.23106452988848944,0.6009117792015771,0.8326307959335483,,0.5007007494972884,0.1874075899457861,0.05182246466650137,,,,
total_weight,0.10034962890265595,0.835200705778562,0.8641775983854693,,0.6003189597006686,0.03246581385090428,0.00020181634712411706,,,,
