metric,bucket,n_users,success_rate,withdraw_rate
total_clicks,Q1,8150,0.021595092024539877,0.7084662576687116
total_clicks,Q2,8154,0.3454746136865342,0.3382389011528084
total_clicks,Q3,8144,0.6601178781925344,0.1529960707269155
total_clicks,Q4,8145,0.8613873542050338,0.04640883977900553
log_total_clicks,Q1,8150,0.021595092024539877,0.7084662576687116
log_total_clicks,Q2,8154,0.3454746136865342,0.3382389011528084
log_total_clicks,Q3,8144,0.6601178781925344,0.1529960707269155
log_total_clicks,Q4,8145,0.8613873542050338,0.04640883977900553
active_days,Q1,8524,0.01959174096668231,0.7067104645706241
active_days,Q2,7973,0.3146870688573937,0.3574564154019817
active_days,Q3,7955,0.6783155248271527,0.13488372093023257
active_days,Q4,8141,0.8982925930475372,0.025672521803218277
clicks_per_day,Q1,7307,0.37074038593129877,0.33159983577391544
clicks_per_day,Q2,7307,0.5293554126180375,0.24018064869303407
clicks_per_day,Q3,7308,0.5696496989600438,0.22167487684729065
clicks_per_day,Q4,7306,0.6353681905283329,0.18751710922529427
engagement_intensity,Q1,8150,0.021226993865030675,0.7092024539877301
engagement_intensity,Q2,8148,0.3449926362297496,0.33750613647520866
engagement_intensity,Q3,8148,0.663966617574865,0.15206185567010308
engagement_intensity,Q4,8147,0.8581072787529151,0.047502148029949676
unique_resources,Q1,8326,0.030146528945472015,0.6996156617823684
unique_resources,Q2,8205,0.4063375990249848,0.30591102985984153
unique_resources,Q3,8003,0.6468824190928402,0.16418842933899788
unique_resources,Q4,8059,0.8218141208586673,0.06291103114530339
num_quiz,Q1,16411,0.23106452988848944,0.5007007494972884
num_quiz,Q2,8116,0.6009117792015771,0.1874075899457861
num_quiz,Q3,8066,0.8326307959335483,0.05182246466650137
resources_per_day,Q1,7308,0.7441160372194855,0.11302681992337164
resources_per_day,Q2,7306,0.6138790035587188,0.18354776895702163
resources_per_day,Q3,7312,0.5218818380743983,0.23317833698030635
resources_per_day,Q4,7302,0.2250068474390578,0.4513831826896741
engagement_breadth,Q1,7307,0.8042972492130833,0.07978650609005064
engagement_breadth,Q2,7307,0.6497878746407555,0.16559463528123716
engagement_breadth,Q3,7308,0.4782430213464696,0.25738916256157635
engagement_breadth,Q4,7306,0.1727347385710375,0.4782370654256775
avg_score,Q1,8179,0.006113216774666829,0.7625626604719403
avg_score,Q2,8123,0.4051458820632771,0.2286101194140096
avg_score,Q3,8154,0.6805248957566838,0.14324258032867304
avg_score,Q4,8137,0.7982057269263857,0.10986850190487894
num_assess_attempted,Q1,9292,0.000753336203185536,0.751721911321567
num_assess_attempted,Q2,9134,0.4072695423691701,0.30140135756514125
num_assess_attempted,Q3,6966,0.7579672695951766,0.05182314097042779
num_assess_attempted,Q4,7201,0.8857103180113873,0.0079155672823219
assessment_density,Q1,8297,0.000602627455706882,0.7758225864770399
assessment_density,Q2,8250,0.2901818181818182,0.3747878787878788
assessment_density,Q3,8096,0.74024209486166,0.06855237154150198
assessment_density,Q4,7950,0.8796226415094339,0.009056603773584906
total_weight,Q1,16303,0.10034962890265595,0.6003189597006686
total_weight,Q2,11335,0.835200705778562,0.03246581385090428
total_weight,Q3,4955,0.8641775983854693,0.00020181634712411706
